date,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6
1/01/2018,1.0548789,1.014546,1.125689,1.122555,1.023695,1.236558
8/01/2018,1.018172278,1.011942834,1.061880612,0.959967831,1.053526314,1.015988162
15/01/2018,1.032007866,1.019771469,1.053240428,0.970243442,1.049859525,1.020523846
22/01/2018,1.066782783,0.980057114,1.14067562,1.01685841,1.307681316,1.066560788
29/01/2018,1.008773164,0.917142857,1.163374338,1.018356933,1.273536771,1.040707528
5/02/2018,0.941527674,0.893771451,1.08986768,0.942520714,1.188008929,0.999886586
12/02/2018,0.993259183,0.985314246,1.178620762,0.949210572,1.32634879,1.043202153
19/02/2018,1.022282155,1.002857143,1.220365444,0.980947215,1.361636203,1.066560788
26/02/2018,0.978852021,1.006914326,1.220568838,0.945250144,1.433639606,1.055108299
5/03/2018,1.052448273,1.02845712,1.284548543,0.991329891,1.578360846,1.094681923
12/03/2018,1.030392931,1.017257166,1.278682684,0.990580626,1.516500807,1.072683931
19/03/2018,0.926821104,0.942514297,1.21675321,0.853037163,1.433115838,0.988547432
26/03/2018,0.936093245,0.958742851,1.177522453,0.855177885,1.406495542,1.034924537
2/04/2018,0.913638711,0.962171457,1.143262739,0.841316521,1.375541688,1.023131885
9/04/2018,0.933806954,0.99845712,1.164057814,0.880492367,1.484118227,1.055448462
16/04/2018,0.973444726,0.946971434,1.242730666,0.88991166,1.560883762,1.077219615
23/04/2018,0.934514636,0.927542897,1.279447399,0.929033933,1.484642138,1.086517721
30/04/2018,0.950990247,1.050457154,1.286224459,0.945196657,1.524310626,1.079033925
7/05/2018,0.996398238,1.07765712,1.304090677,1.000749259,1.554645379,1.107835296
14/05/2018,0.967456887,1.06462856,1.280871159,0.977682564,1.543787729,1.092640876
21/05/2018,0.975894372,1.077600011,1.309980966,0.989670816,1.672889188,1.115319183
28/05/2018,1.015668255,1.087085743,1.335519159,1.038212463,1.714033927,1.142873327
4/06/2018,1.016911185,1.095428554,1.370055461,1.012041744,1.717081758,1.152398171
11/06/2018,1.045389829,1.079085691,1.396073637,1.048166977,1.866660325,1.13538944
18/06/2018,1.048311152,1.056685703,1.395829623,1.079689583,1.957664585,1.138564483
25/06/2018,1.012175357,1.057771434,1.382918161,1.039978597,1.864041067,1.118153972
2/07/2018,1.034421187,1.074114291,1.391729164,1.087663845,1.944140151,1.147068848
9/07/2018,1.078558892,1.093314297,1.475039464,1.109553119,1.884851558,1.19548699
16/07/2018,1.075011618,1.093942869,1.475584497,1.123575035,1.719367491,1.205011845
23/07/2018,1.123631204,1.091314263,1.478489023,0.935991402,1.691556658,1.221000086
30/07/2018,1.110212917,1.188514314,1.483386772,0.951458353,1.633839649,1.225082192
6/08/2018,1.122823737,1.185885709,1.534650264,0.96473101,1.647078369,1.235967769
13/08/2018,1.089572941,1.243314297,1.531330807,0.930157867,1.508547985,1.219866193
20/08/2018,1.107436784,1.235200023,1.550181421,0.934706922,1.708748028,1.229164299
27/08/2018,1.105204869,1.300742886,1.637494457,0.94048697,1.750940446,1.273727174
3/09/2018,1.056793933,1.264571446,1.588159137,0.872571516,1.660459949,1.227009826
10/09/2018,1.063779837,1.279085691,1.602901148,0.868718233,1.73608262,1.285519905
17/09/2018,1.05793708,1.243771451,1.558008027,0.871982808,1.720034256,1.295611741
24/09/2018,1.082777635,1.289942886,1.629594656,0.88017127,1.781656251,1.296859059
1/10/2018,1.050007709,1.281657103,1.537375727,0.842012293,1.673174902,1.271459286
8/10/2018,1.007121904,1.269200006,1.455171879,0.822799037,1.617029334,1.242431086
15/10/2018,0.994765141,1.253199989,1.435174193,0.824458111,1.58421832,1.232112502
22/10/2018,0.97209293,1.236000017,1.336552418,0.778003695,1.427829801,1.212835884
29/10/2018,0.959681789,1.185599977,1.355036862,0.804656148,1.471974849,1.203764617
5/11/2018,0.967266399,1.168400006,1.393193642,0.775809485,1.445164026,1.242431086
12/11/2018,0.963038576,1.105885709,1.296361696,0.7467487,1.36296959,1.227916981
19/11/2018,0.928916854,0.984514246,1.22204146,0.70500397,1.232534887,1.168726586
26/11/2018,0.992923504,1.020457154,1.375083411,0.752528748,1.362588686,1.257398758
3/12/2018,0.940438905,0.962800029,1.325422641,0.735456214,1.262631595,1.188570106
10/12/2018,0.945446953,0.945599977,1.29514133,0.770992739,1.270727128,1.202290471
17/12/2018,0.88868929,0.861314263,1.120661547,0.668718186,1.173341555,1.113845116
24/12/2018,0.940892531,0.892742834,1.202483039,0.712871248,1.219486551,1.138337643
31/12/2018,0.97140341,0.847199971,1.281701023,0.738292708,1.417067479,1.155799951
7/01/2019,0.959137349,0.870228531,1.33472187,0.769601276,1.607647926,1.165665049
14/01/2019,0.996398238,0.896114326,1.379989204,0.802996993,1.614838792,1.221340249
21/01/2019,0.9898025,0.901485686,1.359137222,0.797484561,1.609838468,1.215217095
28/01/2019,1.007729802,0.95154288,1.323063248,0.886861128,1.618410391,1.165438221
4/02/2019,0.993495077,0.973771451,1.29213918,0.895531157,1.65517405,1.198208364
11/02/2019,1.010360854,0.97382856,1.308191037,0.869681535,1.699461815,1.22712324
18/02/2019,1.007385042,0.988400006,1.327399677,0.866416879,1.728748895,1.258305913
25/02/2019,1.035165084,0.999828577,1.360080999,0.868504114,1.701604831,1.27599497
4/03/2019,1.036371689,0.988057166,1.318645581,0.90767996,1.664841172,1.253089914
11/03/2019,1.074603288,1.063542829,1.393136635,0.888306078,1.721319979,1.314321367
18/03/2019,1.093691899,1.091714303,1.435776233,0.879528984,1.71917711,1.327247991
25/03/2019,1.064487521,1.085428554,1.448777176,0.892105949,1.697985568,1.337339827
1/04/2019,1.095188886,1.125714286,1.494768705,0.940433478,1.740511364,1.359451143
8/04/2019,1.104914598,1.136399971,1.499471205,0.958522881,1.672174897,1.371470623
15/04/2019,1.121698754,1.164914291,1.514628047,0.954134296,1.716034085,1.398911443
22/04/2019,1.15418749,1.167428589,1.586987635,1.024832747,1.78508499,1.472842681
29/04/2019,1.075456162,1.21,1.596612214,1.046133234,1.833563455,1.461616862
6/05/2019,1.05628593,1.126742817,1.537644171,1.007974257,1.71931997,1.441546594
13/05/2019,1.054498671,1.08,1.520575343,0.99170456,1.687937538,1.452205512
20/05/2019,1.028342534,1.02268572,1.483378628,0.969012535,1.687651824,1.431454758
27/05/2019,1.001270175,1.00040004,1.444156015,0.949799279,1.634744468,1.402426547
3/06/2019,0.967166615,1.086571394,1.467717271,0.927749534,1.718510341,1.489964747
10/06/2019,0.984685588,1.101371457,1.521120475,0.970457566,1.617838959,1.501870892
17/06/2019,1.017827518,1.135885709,1.554989688,1.022959555,1.758226497,1.553123913
24/06/2019,0.980657443,1.130971417,1.540613748,1.032914069,1.749226145,1.518993128
1/07/2019,1.026636897,1.167028549,1.580706844,1.051110451,1.812229053,1.554144403
8/07/2019,1.038712469,1.161714303,1.636103272,1.096440933,1.777465551,1.575008401
15/07/2019,1.025285101,1.15765712,1.598288231,1.061600185,1.500547638,1.549155141
22/07/2019,1.134436603,1.187085743,1.580820757,1.069039302,1.599028482,1.602675959
29/07/2019,1.083249423,1.165828594,1.483346053,1.011613583,1.518310298,1.552330093
5/08/2019,1.077824076,1.148514314,1.47060541,1.005351886,1.471165225,1.561514955
12/08/2019,1.068379555,1.18,1.458393612,0.98314151,1.441973336,1.543599069
19/08/2019,1.044509821,1.157942851,1.423450521,0.951297802,1.38787559,1.51252972
26/08/2019,1.077905698,1.192800029,1.445148655,0.993684731,1.398876104,1.56321576
2/09/2019,1.093174815,1.218628543,1.491701505,1.003425202,1.381827735,1.577276367
9/09/2019,1.124592945,1.25,1.496444623,1.00181962,1.400780928,1.557092685
16/09/2019,1.115856107,1.244171406,1.459687271,1.01648374,1.289347081,1.581131634
23/09/2019,1.111464929,1.25040004,1.40378633,0.947819108,1.252821471,1.561741613
30/09/2019,1.09686728,1.297199971,1.415339182,0.965747879,1.299061872,1.566163872
7/10/2019,1.102719009,1.349771469,1.409050249,0.985763961,1.347349808,1.583852929
14/10/2019,1.129972885,1.350914309,1.429869656,0.994648114,1.311014722,1.558113175
21/10/2019,1.147791321,1.409028583,1.432977476,1.005565924,1.318253252,1.595759075
28/10/2019,1.155602745,1.461828611,1.457474266,1.036232212,1.365826902,1.629663202
4/11/2019,1.18974263,1.486514371,1.45295083,1.021353973,1.38849469,1.655062974
11/11/2019,1.211063044,1.518628629,1.415208983,1.044153063,1.404971627,1.700532913
18/11/2019,1.175199359,1.495885709,1.420277552,1.064062085,1.478546615,1.696223978
25/11/2019,1.183927116,1.527142857,1.465089434,1.079154362,1.498452291,1.716521165
2/12/2019,1.216279741,1.546914234,1.425061388,1.07599677,1.463641119,1.720716596
9/12/2019,1.222820991,1.57228568,1.432660169,1.038854668,1.421496228,1.752239432
16/12/2019,1.224417763,1.596800011,1.453455244,1.104094174,1.604362046,1.784896252
23/12/2019,1.226504486,1.655999931,1.521226245,1.113727585,1.567169809,1.802471974
30/12/2019,1.213013658,1.677999966,1.503360027,1.098474677,1.540882896,1.788184527
